manager_sb_code,manager_name,manager_start_date,manager_end_date
2217,Micky Mellon,2021-06-01,2022-08-18
2066,Keith Hill,2020-11-22,2021-05-17
5595,Ian Dawes,2020-11-01,2020-11-22
2551,Michael Jackson,2020-07-18,2020-11-01
2217,Micky Mellon,2016-10-07,2020-07-18
3687,Paul Carden,2016-09-18,2016-10-07
2155,Gary Brabin,2015-05-05,2016-09-18
3548,Alan Rogers,2015-04-23,2015-05-05
957,Mickey Adams,2014-10-16,2015-04-19
2786,Rob Edwards,2014-05-27,2014-10-13
1873,John McMahon,2014-04-08,2014-05-27
1096,Ronnie Moore,2012-03-04,2014-04-08
2174,Les Parry,2009-10-09,2012-03-04
1548,John Barnes,2009-06-14,2009-10-09
1096,Ronnie Moore,2006-06-09,2009-06-05
252,Brian Little,2003-10-12,2006-06-09
1873,John McMahon,2003-09-29,2003-10-12
1058,Ray Mathias,2002-08-01,2003-09-29
1311,Dave Watson,2001-05-20,2002-08-01
1058,Ray Mathias,2001-03-18,2001-05-07
1646,Kevin Sheedy,2001-03-18,2001-05-07
778,John Aldridge,1996-04-12,2001-03-17
813,John King,1987-04-13,1996-04-12
1096,Ronnie Moore,1987-02-11,1987-04-13
455,Frank Worthington,1985-07-09,1987-02-11
259,Bryan Hamilton,1980-10-01,1985-02-07
813,John King,1975-04-13,1980-09-30
1094,Ron Yeats,1972-04-08,1975-04-04
687,Jackie Wright,1969-12-01,1972-04-01
330,Dave Russell,1961-12-01,1969-12-01
1281,Walter Galbraith,1961-01-01,1961-12-01
1021,Peter Farrell,1957-10-01,1960-12-31
986,Noel Kelly,1955-07-01,1957-10-01
421,Ernest Blackburn,1946-09-01,1955-05-01
160,Bill Ridding,1939-01-01,1945-05-31
703,Jim Knowles,1936-11-01,1939-01-01
656,Jack Carr,1935-05-01,1936-11-01
125,Bert Cooke,1912-08-01,1935-04-30
