game_date,attendance
2015-08-08,5583.0
2015-08-11,1589.0
2015-08-15,838.0
2015-08-18,5235.0
2015-08-22,4832.0
2015-08-29,2460.0
2015-08-31,4622.0
2015-09-05,1012.0
2015-09-12,7433.0
2015-09-15,2827.0
2015-09-18,4368.0
2015-09-22,4126.0
2015-09-26,2556.0
2015-10-03,4817.0
2015-10-06,6706.0
2015-10-10,5133.0
2015-10-13,4624.0
2015-10-17,2133.0
2015-10-24,3729.0
2015-10-27,2380.0
2015-10-31,4486.0
2015-11-14,3176.0
2015-11-21,4352.0
2015-11-24,1477.0
2015-11-28,640.0
2015-12-05,4224.0
2015-12-12,3397.0
2015-12-19,1684.0
2015-12-26,2037.0
2015-12-28,5414.0
2016-01-02,4923.0
2016-01-09,1766.0
2016-01-23,2219.0
2016-01-30,5053.0
2016-02-06,5199.0
2016-02-13,1882.0
2016-02-20,5418.0
2016-02-28,3494.0
2016-03-05,4668.0
2016-03-08,1147.0
2016-03-12,1460.0
2016-03-19,5073.0
2016-03-25,5366.0
2016-03-28,2744.0
2016-04-02,5173.0
2016-04-09,2264.0
2016-04-16,7541.0
2016-04-23,3269.0
2016-04-30,6637.0
2016-08-06,1539.0
2016-08-09,4977.0
2016-08-13,4619.0
2016-08-16,801.0
2016-08-20,4797.0
2016-08-27,3046.0
2016-08-29,4798.0
2016-09-03,2585.0
2016-09-10,5274.0
2016-09-13,2379.0
2016-09-17,1680.0
2016-09-24,4214.0
2016-10-01,1554.0
2016-10-04,4048.0
2016-10-08,5644.0
2016-10-15,2133.0
2016-10-22,1995.0
2016-10-25,4326.0
2016-10-29,1534.0
2016-11-12,7790.0
2016-11-19,964.0
2016-11-22,2040.0
2016-11-26,4449.0
2016-11-29,723.0
2016-12-03,5075.0
2016-12-10,2159.0
2016-12-17,6335.0
2016-12-26,7274.0
2017-01-01,3317.0
2017-01-14,2801.0
2017-01-28,5293.0
2017-01-31,860.0
2017-02-04,2473.0
2017-02-08,923.0
2017-02-11,4425.0
2017-02-18,2475.0
2017-02-21,4107.0
2017-02-25,3487.0
2017-03-03,3696.0
2017-03-07,1251.0
2017-03-11,2358.0
2017-03-14,1418.0
2017-03-18,6100.0
2017-03-21,638.0
2017-03-25,4514.0
2017-03-28,4281.0
2017-04-01,4630.0
2017-04-04,4694.0
2017-04-08,5001.0
2017-04-11,6907.0
2017-04-14,6324.0
2017-04-17,2148.0
2017-04-22,6159.0
2017-04-29,3409.0
2017-05-03,5614.0
2017-05-06,10241.0
2017-05-14,18801.0
2017-08-05,3162.0
2017-08-08,4698.0
2017-08-12,5050.0
2017-08-15,1231.0
2017-08-19,1906.0
2017-08-26,4295.0
2017-08-28,1312.0
2017-09-02,4101.0
2017-09-09,4269.0
2017-09-12,1483.0
2017-09-16,1525.0
2017-09-23,6802.0
2017-09-30,2056.0
2017-10-04,4145.0
2017-10-07,7172.0
2017-10-14,1630.0
2017-10-21,2714.0
2017-10-24,3371.0
2017-10-28,4826.0
2017-11-04,3750.0
2017-11-11,5227.0
2017-11-15,4199.0
2017-11-18,1140.0
2017-11-21,1709.0
2017-11-25,4126.0
2017-12-09,4569.0
2017-12-18,215.0
2017-12-23,2237.0
2017-12-26,6669.0
2017-12-30,5271.0
2018-01-01,3065.0
2018-01-06,1470.0
2018-01-13,2115.0
2018-01-20,4980.0
2018-01-27,8471.0
2018-02-03,5138.0
2018-02-10,4631.0
2018-02-17,5536.0
2018-02-20,7385.0
2018-02-24,2502.0
2018-03-10,1411.0
2018-03-17,801.0
2018-03-24,4619.0
2018-04-07,3103.0
2018-04-10,4328.0
2018-04-14,5444.0
2018-04-17,1231.0
2018-04-21,3113.0
2018-04-24,3946.0
2018-04-28,5499.0
2018-05-05,8898.0
2018-05-12,16306.0
